step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
348,0,-1.1750,175,0,1,0
428,1,-1.2140,215,0,1,0
732,0,-1.1910,192,0,1,0
1270,0,-1.2690,269,0,1,0
1302,1,-1.4360,437,0,1,0
1618,1,-1.1580,158,0,1,0
2048,0,-1.3880,389,0,1,0
2070,1,-1.2250,226,0,1,0
2250,0,-1.1000,101,0,1,0
2468,1,-1.1980,199,0,1,0
2758,0,-1.2530,254,0,1,0
2886,1,-1.2080,209,0,1,0
2964,0,-1.1020,103,0,1,0
3122,1,-1.1170,118,0,1,0
3264,0,-1.1490,150,0,1,0
3690,1,-1.2830,284,0,1,0
4178,0,-1.4560,457,0,1,0
4626,0,-1.2240,224,0,1,0
4626,1,-1.4670,468,0,1,0
4994,1,-1.1840,184,0,1,0
5090,0,-1.2310,232,0,1,0
