step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
1550,1,-0.5660,776,1,1,0
2216,0,-0.6880,1109,1,1,0
2416,1,-1.4320,433,0,1,0
2802,1,-1.1930,193,0,1,0
3372,1,-1.1800,285,0,1,0
4446,0,-2.1140,1115,0,1,0
6076,0,-0.5000,815,1,1,0
6972,1,-0.3800,1800,1,0,1
8038,1,0.6770,533,2,1,0
8234,0,-0.7630,1079,1,1,0
9584,1,0.6480,773,2,1,0
9726,0,-1.6400,746,0,1,0
10196,1,-0.0950,306,1,1,0
10374,0,-0.1130,324,1,1,0
10452,1,-1.1270,128,0,1,0
10682,1,-0.9050,115,0,1,0
13974,0,-1.6950,1800,0,0,1
14282,1,-1.5900,1800,0,0,1
17574,0,-1.8000,1800,0,0,1
17882,1,-1.8000,1800,0,0,1
21174,0,-1.8000,1800,0,0,1
21482,1,-1.8000,1800,0,0,1
24774,0,-1.8000,1800,0,0,1
25082,1,-1.8000,1800,0,0,1
28374,0,-1.8000,1800,0,0,1
28682,1,-1.8000,1800,0,0,1
31974,0,-1.8000,1800,0,0,1
32282,1,-0.6950,1800,1,0,1
33130,1,-0.2140,424,1,1,0
33854,1,-1.2570,362,0,1,0
35574,0,-0.5900,1800,1,0,1
36902,0,-0.6640,664,1,1,0
37348,0,-1.1180,223,0,1,0
37454,1,-1.8000,1800,0,0,1
40948,0,-0.3800,1800,1,0,1
41054,1,-1.8000,1800,0,0,1
44548,0,-0.8000,1800,1,0,1
44654,1,-1.8000,1800,0,0,1
48148,0,-1.8000,1800,0,0,1
48254,1,-1.8000,1800,0,0,1
50252,0,-1.9470,1052,0,1,0
50892,0,-1.1100,320,0,1,0
51196,1,-2.4700,1471,0,1,0
54492,0,-1.5900,1800,0,0,1
54796,1,0.6200,1800,2,0,1
57448,1,-2.3260,1326,0,1,0
57880,0,-1.6930,1694,1,1,0
59972,0,-1.9410,1046,0,1,0
60398,1,-1.2640,1475,1,1,0
63572,0,-1.8000,1800,0,0,1
63998,1,-1.6950,1800,0,0,1
66348,1,-2.0700,1175,0,1,0
67172,0,-1.8000,1800,0,0,1
67876,1,-1.7640,764,0,1,0
68584,1,-1.3540,354,0,1,0
69032,1,0.0910,224,1,1,0
69410,0,-0.9080,1119,1,1,0
69836,1,-0.1910,402,1,1,0
70866,1,-1.5150,515,0,1,0
71330,0,-1.8540,960,0,1,0
72038,0,-1.3540,354,0,1,0
74466,1,-1.5900,1800,0,0,1
75638,0,-1.5900,1800,0,0,1
78066,1,0.4100,1800,2,0,1
79238,0,-0.8000,1800,1,0,1
80594,1,-2.2640,1264,0,1,0
81164,1,-1.1800,285,0,1,0
82464,0,-1.4020,1613,1,1,0
83074,1,-0.7440,955,1,1,0
86064,0,-1.8000,1800,0,0,1
86656,1,-1.4760,1791,1,1,0
86690,0,-1.2070,313,0,1,0
87498,1,-1.4200,421,0,1,0
88292,1,-1.3970,397,0,1,0
90290,0,-1.8000,1800,0,0,1
91892,1,-1.8000,1800,0,0,1
93890,0,-1.8000,1800,0,0,1
95492,1,-1.8000,1800,0,0,1
97490,0,-1.8000,1800,0,0,1
99092,1,-1.8000,1800,0,0,1
101090,0,-1.8000,1800,0,0,1
102692,1,-1.8000,1800,0,0,1
104690,0,-1.8000,1800,0,0,1
106292,1,-1.8000,1800,0,0,1
108290,0,-1.8000,1800,0,0,1
109892,1,-1.8000,1800,0,0,1
111890,0,-1.8000,1800,0,0,1
113492,1,-1.8000,1800,0,0,1
115490,0,-1.8000,1800,0,0,1
117092,1,-1.8000,1800,0,0,1
119090,0,-1.8000,1800,0,0,1
120692,1,-1.8000,1800,0,0,1
122690,0,-1.8000,1800,0,0,1
124292,1,-1.8000,1800,0,0,1
126290,0,-1.8000,1800,0,0,1
127892,1,-1.8000,1800,0,0,1
129890,0,-1.8000,1800,0,0,1
131492,1,-1.8000,1800,0,0,1
133490,0,-1.8000,1800,0,0,1
135092,1,-1.8000,1800,0,0,1
137090,0,-1.8000,1800,0,0,1
138692,1,-1.8000,1800,0,0,1
140690,0,-1.8000,1800,0,0,1
142292,1,-1.8000,1800,0,0,1
144290,0,-1.8000,1800,0,0,1
145892,1,-1.8000,1800,0,0,1
147890,0,-1.8000,1800,0,0,1
149492,1,-1.8000,1800,0,0,1
151490,0,-1.8000,1800,0,0,1
153092,1,-1.8000,1800,0,0,1
155090,0,-1.8000,1800,0,0,1
156692,1,-1.8000,1800,0,0,1
158690,0,-1.8000,1800,0,0,1
160292,1,-1.8000,1800,0,0,1
162290,0,-1.8000,1800,0,0,1
163892,1,-1.8000,1800,0,0,1
165890,0,-1.8000,1800,0,0,1
167492,1,-1.8000,1800,0,0,1
169490,0,-1.8000,1800,0,0,1
171092,1,-1.8000,1800,0,0,1
173090,0,-1.8000,1800,0,0,1
174692,1,-1.8000,1800,0,0,1
176690,0,-1.8000,1800,0,0,1
178292,1,-1.8000,1800,0,0,1
180290,0,-1.8000,1800,0,0,1
181892,1,-1.8000,1800,0,0,1
183890,0,-1.8000,1800,0,0,1
185492,1,-1.8000,1800,0,0,1
187490,0,-1.8000,1800,0,0,1
189092,1,-1.8000,1800,0,0,1
191090,0,-1.8000,1800,0,0,1
192692,1,-1.8000,1800,0,0,1
194690,0,-1.8000,1800,0,0,1
196292,1,-1.8000,1800,0,0,1
198290,0,-1.8000,1800,0,0,1
199892,1,-1.8000,1800,0,0,1
