step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
1294,1,-4.8230,648,0,1,0
1296,1,-1.0000,1,0,1,0
1378,0,-5.0740,690,0,1,0
2714,1,-5.1880,709,0,1,0
4436,1,-3.9360,861,2,1,0
4978,0,-10.7398,1800,0,0,1
8036,1,-10.7398,1800,0,0,1
8578,0,-10.7398,1800,0,0,1
11636,1,-10.7398,1800,0,0,1
12178,0,-10.7398,1800,0,0,1
15236,1,-10.7398,1800,0,0,1
15778,0,-8.5600,1800,2,0,1
18836,1,-10.7398,1800,0,0,1
19378,0,-10.7398,1800,0,0,1
22436,1,-10.7398,1800,0,0,1
22978,0,-10.7398,1800,0,0,1
26036,1,-10.7398,1800,0,0,1
26578,0,-10.7398,1800,0,0,1
29636,1,-10.7398,1800,0,0,1
30178,0,-10.7398,1800,0,0,1
33236,1,-10.7398,1800,0,0,1
33778,0,-10.7398,1800,0,0,1
36836,1,-10.7398,1800,0,0,1
37378,0,-10.7398,1800,0,0,1
40436,1,-10.7398,1800,0,0,1
40978,0,-10.7398,1800,0,0,1
44036,1,-10.7398,1800,0,0,1
44578,0,-10.7398,1800,0,0,1
47636,1,-10.7398,1800,0,0,1
48178,0,-10.7398,1800,0,0,1
51236,1,-10.7398,1800,0,0,1
51778,0,-10.7398,1800,0,0,1
54836,1,-10.7398,1800,0,0,1
55378,0,-10.7398,1800,0,0,1
58436,1,-10.7398,1800,0,0,1
58978,0,-10.7398,1800,0,0,1
62036,1,-10.7398,1800,0,0,1
62578,0,-10.7398,1800,0,0,1
