step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
2468,1,-7.2550,1235,1,1,0
3004,1,-2.5430,268,0,1,0
3598,0,-8.5850,1800,2,0,1
3672,1,-2.9390,334,0,1,0
3996,0,-2.1280,199,0,1,0
4674,0,-2.9690,339,0,1,0
6926,1,-10.6959,1627,0,1,0
7138,0,-7.2560,1232,1,1,0
8054,1,-3.2430,564,1,1,0
10586,1,-8.5310,1266,0,1,0
10738,0,-7.4901,1800,3,0,1
11226,1,-1.7800,320,1,1,0
12638,1,-4.1060,706,1,1,0
14338,0,-10.7398,1800,0,0,1
15942,1,-8.6761,1652,2,1,0
16452,1,-2.4650,255,0,1,0
17938,0,-9.6699,1800,1,0,1
19276,1,-7.2260,1412,2,1,0
19732,1,-2.3030,228,0,1,0
21538,0,-10.7398,1800,0,0,1
22744,1,-8.9001,1506,1,1,0
23846,1,-2.0510,551,2,1,0
24214,1,-2.0390,184,0,1,0
25138,0,-10.7398,1800,0,0,1
26768,1,-8.5960,1277,0,1,0
26910,0,-6.2500,886,0,1,0
28500,0,-4.6050,795,1,1,0
29130,1,-5.8600,1181,2,1,0
29834,0,-2.7960,667,2,1,0
31386,1,-7.7020,1128,0,1,0
31966,1,-1.5850,290,1,1,0
33434,0,-9.6599,1800,1,0,1
33838,0,-2.1470,202,0,1,0
34530,0,-3.0110,346,0,1,0
35372,0,-2.3810,421,1,1,0
35566,1,-10.7398,1800,0,0,1
36206,0,-2.3470,417,1,1,0
39166,1,-10.7398,1800,0,0,1
39806,0,-8.5500,1800,2,0,1
40282,1,-4.2830,558,0,1,0
41356,0,-4.4990,775,1,1,0
41408,1,-3.2120,563,1,1,0
41736,1,-1.9190,164,0,1,0
43794,1,-6.0440,1029,1,1,0
44956,0,-10.7398,1800,0,0,1
46212,0,-4.7030,628,0,1,0
47394,1,-10.7398,1800,0,0,1
49442,1,-7.0790,1024,0,1,0
49690,0,-10.2980,1739,1,1,0
49998,0,-1.8590,154,0,1,0
50506,0,-2.4590,254,0,1,0
52140,1,-9.0280,1349,0,1,0
52276,0,-5.1790,885,1,1,0
52460,1,-1.8940,160,0,1,0
53524,1,-3.0270,532,1,1,0
53842,1,-1.8890,159,0,1,0
53844,0,-5.6380,784,0,1,0
55414,0,-4.5450,785,1,1,0
57442,1,-9.6749,1800,1,0,1
59014,0,-9.6749,1800,1,0,1
59522,0,-2.4590,254,0,1,0
61042,1,-10.7398,1800,0,0,1
62848,0,-10.9129,1663,0,1,0
63774,0,-3.7130,463,0,1,0
64642,1,-10.7398,1800,0,0,1
67374,0,-10.7398,1800,0,0,1
68242,1,-10.7398,1800,0,0,1
70974,0,-10.7398,1800,0,0,1
71842,1,-10.7398,1800,0,0,1
74574,0,-10.7398,1800,0,0,1
75442,1,-10.7398,1800,0,0,1
78174,0,-10.7398,1800,0,0,1
79042,1,-10.7398,1800,0,0,1
81774,0,-10.7398,1800,0,0,1
82642,1,-10.7398,1800,0,0,1
85374,0,-10.7398,1800,0,0,1
86242,1,-10.7398,1800,0,0,1
88974,0,-10.7398,1800,0,0,1
89842,1,-10.7398,1800,0,0,1
92574,0,-10.7398,1800,0,0,1
93442,1,-10.7398,1800,0,0,1
96174,0,-10.7398,1800,0,0,1
97042,1,-10.7398,1800,0,0,1
99774,0,-10.7398,1800,0,0,1
100642,1,-10.7398,1800,0,0,1
103374,0,-10.7398,1800,0,0,1
104242,1,-10.7398,1800,0,0,1
106974,0,-10.7398,1800,0,0,1
107842,1,-10.7398,1800,0,0,1
110574,0,-10.7398,1800,0,0,1
111442,1,-10.7398,1800,0,0,1
114174,0,-10.7398,1800,0,0,1
115042,1,-10.7398,1800,0,0,1
