step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
432,0,-1.2840,109,0,1,0
568,3,-1.3860,143,0,1,0
992,0,-1.3770,140,0,1,0
1204,2,-1.8630,302,0,1,0
1688,1,-2.2260,423,0,1,0
2444,0,0.9960,363,1,1,0
2444,3,-2.3640,469,0,1,0
2584,2,-1.9920,345,0,1,0
3124,2,-1.3630,135,0,1,0
3684,0,-1.8870,310,0,1,0
3688,1,-1.4600,500,0,0,1
4000,1,-1.1920,78,0,1,0
4444,3,1.5820,500,1,0,1
4604,2,4.0170,370,2,1,0
5092,3,1.5990,162,1,1,0
5288,2,1.5720,171,1,1,0
5604,0,0.6450,480,1,1,0
5884,1,3.7140,471,2,1,0
6340,2,-1.7460,263,0,1,0
6340,3,-1.8930,312,0,1,0
6644,1,-1.5270,190,0,1,0
7052,3,1.5510,178,1,1,0
7280,2,-1.6620,235,0,1,0
7544,1,-1.6320,225,0,1,0
7604,0,-1.4600,500,0,0,1
7776,0,-1.0870,43,0,1,0
8036,2,-1.5240,189,0,1,0
8736,0,-1.6770,240,0,1,0
8736,3,-2.2200,421,0,1,0
8780,1,4.2000,309,2,1,0
9196,2,1.2150,290,1,1,0
9292,3,1.6300,139,1,1,0
9736,0,-1.7070,250,0,1,0
9928,2,-1.5060,183,0,1,0
9932,1,-1.8210,288,0,1,0
10316,0,1.6500,145,1,1,0
10584,2,-1.4490,164,0,1,0
11196,1,-1.9050,316,0,1,0
11292,3,-1.4600,500,0,0,1
11744,3,-1.2970,113,0,1,0
11984,1,-1.5480,197,0,1,0
12316,0,-1.4600,500,0,0,1
12584,2,-1.4600,500,0,0,1
12852,2,-1.1590,67,0,1,0
12868,0,-1.3710,138,0,1,0
13712,1,0.7890,432,1,1,0
13716,0,-1.5930,212,0,1,0
13744,3,-1.4600,500,0,0,1
14576,0,1.4390,215,1,1,0
14852,2,-1.4600,500,0,0,1
15100,0,-1.3510,131,0,1,0
15712,1,-1.4600,500,0,0,1
15744,3,-1.4600,500,0,0,1
16852,2,-1.4600,500,0,0,1
17100,0,-1.4600,500,0,0,1
17184,2,-1.2070,83,0,1,0
17712,1,-1.4600,500,0,0,1
17744,3,1.5820,500,1,0,1
17832,3,-1.0240,22,0,1,0
18392,0,-1.9260,323,0,1,0
18768,2,3.9250,396,2,1,0
19144,1,-2.0310,358,0,1,0
19592,3,0.7650,440,1,1,0
19824,1,-1.4670,170,0,1,0
20392,0,-1.4600,500,0,0,1
20768,2,-1.4600,500,0,0,1
21592,3,-1.4600,500,0,0,1
21824,1,-1.4600,500,0,0,1
22392,0,-1.4600,500,0,0,1
22768,2,-1.4600,500,0,0,1
23592,3,-1.4600,500,0,0,1
23824,1,-1.4600,500,0,0,1
24392,0,-1.4600,500,0,0,1
24768,2,-1.4600,500,0,0,1
