step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
1212,1,-4.5770,607,0,1,0
1214,1,-1.0000,1,0,1,0
1216,0,-4.5880,609,0,1,0
1806,0,-2.7050,295,0,1,0
2228,0,-2.2010,211,0,1,0
2880,0,-2.8910,326,0,1,0
4814,1,-9.6449,1800,1,0,1
6274,1,-5.3150,730,0,1,0
6480,0,-10.7398,1800,0,0,1
7608,1,-3.8470,667,1,1,0
7700,0,-4.5940,610,0,1,0
8038,0,-1.9490,169,0,1,0
8628,1,-3.9940,510,0,1,0
9474,1,-2.3780,423,1,1,0
9870,1,-2.1230,198,0,1,0
10190,1,-1.8950,160,0,1,0
11638,0,-10.7398,1800,0,0,1
11840,0,-1.5410,101,0,1,0
13556,0,-4.9980,858,1,1,0
13790,1,-10.7398,1800,0,0,1
16528,1,-8.0590,1369,1,1,0
17156,0,-9.6699,1800,1,0,1
17352,0,-1.5230,98,0,1,0
17948,0,-2.7230,298,0,1,0
18856,0,-2.5890,454,1,1,0
19898,1,-8.8791,1685,2,1,0
20358,0,-3.2750,751,2,1,0
20728,1,-2.3390,415,1,1,0
20992,0,-1.7460,317,1,1,0
22626,0,-4.7520,817,1,1,0
22920,1,-6.4150,1096,1,1,0
23462,0,-3.4420,418,0,1,0
23650,1,-3.1240,365,0,1,0
24270,1,-1.6950,310,1,1,0
26468,0,-8.8770,1503,1,1,0
27090,0,-1.7110,311,1,1,0
27870,1,-8.5500,1800,2,0,1
28022,1,-0.3260,76,1,1,0
30130,1,-5.0940,1054,2,1,0
30690,0,-9.6699,1800,1,0,1
32288,0,-5.7290,799,0,1,0
32590,1,-8.3140,1230,0,1,0
32996,0,-3.0580,354,0,1,0
33480,0,-2.3870,242,0,1,0
33480,1,-2.5090,445,1,1,0
34040,0,-2.6140,280,0,1,0
34882,1,-5.1400,701,0,1,0
37640,0,-10.7398,1800,0,0,1
38482,1,-10.7398,1800,0,0,1
38708,1,-1.6130,113,0,1,0
40774,0,-9.2510,1567,1,1,0
40806,1,-6.1630,1049,1,1,0
41140,0,-2.0320,183,0,1,0
41884,0,-3.1670,372,0,1,0
42208,1,-5.1400,701,0,1,0
43518,1,-3.8500,655,1,1,0
43552,0,-4.8580,834,1,1,0
44122,0,-2.6450,285,0,1,0
44518,0,-2.1230,198,0,1,0
45718,0,-3.4600,600,1,1,0
46184,0,-2.3330,233,0,1,0
47118,1,-10.7398,1800,0,0,1
49784,0,-10.7398,1800,0,0,1
50658,1,-10.4539,1770,1,1,0
53384,0,-10.7398,1800,0,0,1
54258,1,-9.6599,1800,1,0,1
56870,0,-10.3029,1743,1,1,0
57030,1,-8.1650,1386,1,1,0
58736,0,-4.3670,933,2,1,0
59198,0,-1.3110,231,1,1,0
59198,1,-4.1530,1084,3,1,0
