step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
520,0,-1.2610,261,0,1,0
680,1,-1.3400,341,0,1,0
956,1,-1.1380,138,0,1,0
958,0,-1.2180,219,0,1,0
1682,1,-1.3620,363,0,1,0
1710,0,-0.3750,376,1,1,0
1956,1,-1.1360,137,0,1,0
2032,0,-1.1600,161,0,1,0
2172,1,-1.1070,108,0,1,0
2448,1,-1.1380,138,0,1,0
2560,0,-1.2630,264,0,1,0
2838,1,-1.1940,195,0,1,0
2898,0,-1.1680,169,0,1,0
3316,0,-1.2090,209,0,1,0
3350,1,-1.2550,256,0,1,0
3738,1,-1.1940,194,0,1,0
3918,0,-1.3000,301,0,1,0
4008,1,-1.1340,135,0,1,0
4166,0,-1.1230,124,0,1,0
4416,1,-1.2030,204,0,1,0
4608,0,-1.2200,221,0,1,0
4860,1,-1.2210,222,0,1,0
4968,0,-1.1790,180,0,1,0
5314,1,-1.2260,227,0,1,0
5398,0,-1.2140,215,0,1,0
5448,1,-1.0660,67,0,1,0
5736,0,-1.1680,169,0,1,0
5810,1,-1.1800,181,0,1,0
6068,0,-1.1650,166,0,1,0
6274,1,-1.2310,232,0,1,0
6714,0,-1.3220,323,0,1,0
6802,1,-1.2630,264,0,1,0
7004,0,-1.1440,145,0,1,0
7286,1,-1.2410,242,0,1,0
7364,0,-1.1790,180,0,1,0
7524,1,-1.1180,119,0,1,0
7606,0,-1.1200,121,0,1,0
7708,1,-1.0910,92,0,1,0
7906,0,-1.1490,150,0,1,0
7914,1,-1.1020,103,0,1,0
8122,0,-1.1070,108,0,1,0
8340,1,-1.2120,213,0,1,0
8396,0,-1.1360,137,0,1,0
8716,0,-1.1600,160,0,1,0
8728,1,-1.1930,194,0,1,0
9012,0,-1.1470,148,0,1,0
9270,1,-1.2700,271,0,1,0
9282,0,-1.1340,135,0,1,0
9632,1,-1.1800,181,0,1,0
9920,0,-1.3180,319,0,1,0
10034,1,-1.2000,201,0,1,0
