step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
846,0,-2.4080,424,1,1,0
2036,1,-5.9630,1019,1,1,0
4446,0,-10.7398,1800,0,0,1
5636,1,-10.7398,1800,0,0,1
7942,0,-9.2480,1748,2,1,0
8482,0,-2.5550,270,0,1,0
9236,1,-9.6599,1800,1,0,1
11732,1,-7.3530,1248,1,1,0
12082,0,-7.4901,1800,3,0,1
12254,1,-2.5010,261,0,1,0
13552,1,-4.8290,649,0,1,0
13616,0,-5.5360,767,0,1,0
17152,1,-9.6449,1800,1,0,1
17216,0,-9.6649,1800,1,0,1
17688,1,-2.5430,268,0,1,0
17712,0,-2.4220,248,0,1,0
18140,0,-2.2190,214,0,1,0
18150,1,-1.2500,231,1,1,0
18536,1,-2.0930,193,0,1,0
18752,0,-2.7700,306,0,1,0
21504,0,-8.1200,1376,1,1,0
21504,1,-8.7381,1484,1,1,0
25104,0,-9.6499,1800,1,0,1
25104,1,-10.7398,1800,0,0,1
25610,1,-2.4530,253,0,1,0
26130,1,-2.4950,260,0,1,0
28666,1,-6.3730,1268,2,1,0
28704,0,-9.6399,1800,1,0,1
30814,0,-6.1790,1055,1,1,0
32266,1,-10.7398,1800,0,0,1
32422,0,-5.7580,804,0,1,0
33948,0,-3.3430,763,2,1,0
33960,1,-3.8710,847,2,1,0
35376,0,-5.2180,714,0,1,0
35456,1,-4.3220,748,1,1,0
35984,1,-2.5190,264,0,1,0
37462,0,-5.0320,1043,2,1,0
37870,0,-2.1590,204,0,1,0
37888,1,-5.5660,952,1,1,0
41470,0,-9.6749,1800,1,0,1
41488,1,-10.7398,1800,0,0,1
43616,1,-7.3190,1064,0,1,0
44122,1,-2.4530,253,0,1,0
45070,0,-10.7398,1800,0,0,1
47722,1,-10.7398,1800,0,0,1
48670,0,-10.7398,1800,0,0,1
49412,1,-4.9290,845,1,1,0
49780,0,-4.2640,555,0,1,0
50398,0,-2.7890,309,0,1,0
50406,1,-3.9160,497,0,1,0
53998,0,-9.6699,1800,1,0,1
54006,1,-9.6749,1800,1,0,1
54036,0,-1.0490,19,0,1,0
56116,0,-6.0800,1040,1,1,0
57138,1,-9.2550,1566,1,1,0
57424,1,-1.7930,143,0,1,0
57436,0,-4.8940,660,0,1,0
57996,0,-2.6150,280,0,1,0
61024,1,-10.7398,1800,0,0,1
61186,0,-8.3591,1595,2,1,0
61810,0,-1.7420,312,1,1,0
61816,1,-3.3100,396,0,1,0
62838,1,-2.9060,511,1,1,0
64936,1,-5.0590,1049,2,1,0
65410,0,-7.4701,1800,3,0,1
68536,1,-10.7398,1800,0,0,1
69010,0,-9.6649,1800,1,0,1
69282,1,-3.1720,373,0,1,0
70322,0,-3.7900,656,1,1,0
71178,0,-2.4130,428,1,1,0
71184,1,-6.6400,951,0,1,0
71760,1,-2.6630,288,0,1,0
74682,0,-10.3760,1752,1,1,0
75216,0,-2.5370,267,0,1,0
75230,1,-9.1940,1735,2,1,0
75690,0,-2.3560,237,0,1,0
76744,1,-4.3960,757,1,1,0
79290,0,-10.7398,1800,0,0,1
80344,1,-10.7398,1800,0,0,1
82808,1,-8.3270,1232,0,1,0
82890,0,-10.7398,1800,0,0,1
83198,1,-2.1050,195,0,1,0
85216,1,-4.8240,1009,2,1,0
86108,1,-2.5410,446,1,1,0
86490,0,-7.5201,1800,3,0,1
88390,0,-6.6350,950,0,1,0
89708,1,-9.6699,1800,1,0,1
91990,0,-10.7398,1800,0,0,1
92446,1,-9.1480,1369,0,1,0
92676,0,-2.9920,343,0,1,0
92676,1,-1.6240,115,0,1,0
93424,1,-2.0890,374,1,1,0
95722,0,-10.0720,1523,0,1,0
96266,0,-2.5670,272,0,1,0
96266,1,-9.4600,1421,0,1,0
96770,1,-2.4470,252,0,1,0
97510,1,-3.1550,370,0,1,0
97994,1,-2.3870,242,0,1,0
98304,0,-7.0480,1019,0,1,0
101594,1,-10.7398,1800,0,0,1
101904,0,-10.7398,1800,0,0,1
105194,1,-10.7398,1800,0,0,1
105504,0,-10.7398,1800,0,0,1
108794,1,-10.7398,1800,0,0,1
109104,0,-10.7398,1800,0,0,1
