step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
616,0,2.6910,309,4,1,0
616,1,2.6920,309,4,1,0
1104,0,2.7570,244,4,1,0
1122,1,2.7480,253,4,1,0
1532,0,2.7870,214,4,1,0
1866,1,4.6290,372,6,1,0
1884,0,1.8250,176,3,1,0
2110,1,0.8790,122,2,1,0
2192,0,1.8470,154,3,1,0
2422,1,0.8450,156,2,1,0
2642,0,2.7760,225,4,1,0
2802,1,1.8110,190,3,1,0
3158,1,1.8220,178,3,1,0
3170,0,3.7370,264,5,1,0
3334,0,0.9180,82,2,1,0
3780,0,3.7770,223,5,1,0
3796,1,6.6820,319,8,1,0
4222,0,0.7800,221,2,1,0
4222,1,3.7880,213,5,1,0
4428,0,-0.1020,103,1,1,0
4428,1,-0.1020,103,1,1,0
4730,1,-0.1510,151,1,1,0
4792,0,2.8190,182,4,1,0
4984,0,-0.0960,96,1,1,0
